Tipo_Crime,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Violencia Domestica Conjuge ou Analogo,Águeda,57.0,63.0,82.0,70.0,90.0,103.0,117.0,84.0,83.0,86.0,92.0,104.0
Violencia Domestica Menores,Águeda,3.0,,4.0,,,6.0,5.0,,,3.0,,
Outros Violencia Domestica,Águeda,12.0,12.0,27.0,23.0,20.0,19.0,21.0,10.0,12.0,6.0,18.0,13.0
Violencia Domestica Conjuge ou Analogo,Albergaria-a-Velha,54.0,24.0,33.0,47.0,35.0,43.0,60.0,56.0,54.0,62.0,64.0,86.0
Violencia Domestica Menores,Albergaria-a-Velha,,,,,,,4.0,,,,,
Outros Violencia Domestica,Albergaria-a-Velha,3.0,3.0,,,12.0,16.0,11.0,11.0,9.0,6.0,7.0,12.0
Violencia Domestica Conjuge ou Analogo,Anadia,42.0,29.0,44.0,27.0,27.0,43.0,47.0,45.0,45.0,65.0,49.0,74.0
Violencia Domestica Menores,Anadia,3.0,,,,,,,,,,,
Outros Violencia Domestica,Anadia,9.0,4.0,6.0,9.0,8.0,9.0,6.0,11.0,7.0,16.0,14.0,11.0
Violencia Domestica Conjuge ou Analogo,Arouca,22.0,15.0,24.0,18.0,16.0,18.0,31.0,30.0,24.0,27.0,38.0,45.0
Violencia Domestica Menores,Arouca,,,,,,,,,,,,
Outros Violencia Domestica,Arouca,,,,4.0,4.0,,,4.0,4.0,6.0,7.0,8.0
Violencia Domestica Conjuge ou Analogo,Aveiro,200.0,212.0,216.0,193.0,93.0,106.0,159.0,149.0,171.0,199.0,203.0,190.0
Violencia Domestica Menores,Aveiro,6.0,13.0,,,5.0,,3.0,,4.0,,3.0,3.0
Outros Violencia Domestica,Aveiro,72.0,63.0,91.0,23.0,8.0,20.0,28.0,28.0,28.0,21.0,30.0,51.0
Violencia Domestica Conjuge ou Analogo,Castelo de Paiva,29.0,40.0,39.0,33.0,35.0,29.0,20.0,11.0,26.0,17.0,13.0,21.0
Violencia Domestica Menores,Castelo de Paiva,,6.0,,4.0,,,,,,,,
Outros Violencia Domestica,Castelo de Paiva,9.0,9.0,17.0,5.0,13.0,3.0,10.0,3.0,,4.0,5.0,3.0
Violencia Domestica Conjuge ou Analogo,Espinho,51.0,127.0,110.0,88.0,64.0,53.0,69.0,57.0,77.0,86.0,86.0,86.0
Violencia Domestica Menores,Espinho,,7.0,3.0,4.0,,,,,6.0,5.0,,3.0
Outros Violencia Domestica,Espinho,12.0,38.0,13.0,29.0,25.0,34.0,30.0,40.0,40.0,46.0,25.0,34.0
Violencia Domestica Conjuge ou Analogo,Estarreja,46.0,78.0,100.0,92.0,90.0,70.0,91.0,80.0,56.0,59.0,75.0,97.0
Violencia Domestica Menores,Estarreja,,,5.0,,,,,,,,,
Outros Violencia Domestica,Estarreja,9.0,6.0,7.0,8.0,10.0,4.0,9.0,4.0,6.0,,5.0,10.0
Violencia Domestica Conjuge ou Analogo,Santa Maria da Feira,224.0,221.0,327.0,279.0,284.0,241.0,289.0,323.0,279.0,248.0,279.0,365.0
Violencia Domestica Menores,Santa Maria da Feira,3.0,6.0,3.0,3.0,,4.0,7.0,,3.0,3.0,,
Outros Violencia Domestica,Santa Maria da Feira,32.0,22.0,51.0,19.0,21.0,18.0,21.0,27.0,35.0,41.0,49.0,50.0
Violencia Domestica Conjuge ou Analogo,Ílhavo,90.0,97.0,83.0,69.0,49.0,63.0,91.0,95.0,84.0,107.0,95.0,94.0
Violencia Domestica Menores,Ílhavo,3.0,4.0,,,,,,,,3.0,,4.0
Outros Violencia Domestica,Ílhavo,22.0,15.0,17.0,8.0,6.0,12.0,7.0,19.0,11.0,11.0,12.0,9.0
Violencia Domestica Conjuge ou Analogo,Mealhada,21.0,13.0,22.0,28.0,21.0,29.0,22.0,22.0,25.0,36.0,33.0,32.0
Violencia Domestica Menores,Mealhada,,,3.0,,,,,,,,,
Outros Violencia Domestica,Mealhada,,4.0,,5.0,3.0,7.0,,,,,,
Violencia Domestica Conjuge ou Analogo,Murtosa,37.0,29.0,20.0,34.0,25.0,28.0,23.0,24.0,25.0,33.0,24.0,25.0
Violencia Domestica Menores,Murtosa,,,,,,,,,,,,
Outros Violencia Domestica,Murtosa,4.0,9.0,11.0,,,3.0,,,4.0,5.0,,7.0
Violencia Domestica Conjuge ou Analogo,Oliveira de Azeméis,85.0,116.0,141.0,127.0,144.0,152.0,166.0,153.0,127.0,119.0,156.0,149.0
Violencia Domestica Menores,Oliveira de Azeméis,5.0,,,,,,3.0,,,,,
Outros Violencia Domestica,Oliveira de Azeméis,4.0,11.0,9.0,4.0,7.0,14.0,14.0,10.0,19.0,15.0,10.0,12.0
Violencia Domestica Conjuge ou Analogo,Oliveira do Bairro,21.0,24.0,38.0,28.0,36.0,54.0,71.0,45.0,74.0,46.0,50.0,59.0
Violencia Domestica Menores,Oliveira do Bairro,,,,4.0,,,,,3.0,,4.0,
Outros Violencia Domestica,Oliveira do Bairro,,4.0,7.0,4.0,11.0,3.0,9.0,4.0,5.0,6.0,9.0,10.0
Violencia Domestica Conjuge ou Analogo,Ovar,107.0,98.0,129.0,162.0,129.0,152.0,131.0,114.0,130.0,142.0,128.0,110.0
Violencia Domestica Menores,Ovar,4.0,,3.0,3.0,3.0,,,3.0,,,3.0,5.0
Outros Violencia Domestica,Ovar,28.0,16.0,40.0,44.0,31.0,34.0,38.0,35.0,29.0,16.0,28.0,30.0
Violencia Domestica Conjuge ou Analogo,São João da Madeira,71.0,46.0,59.0,81.0,56.0,52.0,55.0,65.0,60.0,53.0,49.0,71.0
Violencia Domestica Menores,São João da Madeira,,,4.0,,4.0,,,,4.0,,,
Outros Violencia Domestica,São João da Madeira,25.0,24.0,49.0,30.0,28.0,19.0,12.0,14.0,22.0,6.0,17.0,11.0
Violencia Domestica Conjuge ou Analogo,Sever do Vouga,29.0,17.0,23.0,14.0,19.0,34.0,25.0,24.0,18.0,16.0,15.0,21.0
Violencia Domestica Menores,Sever do Vouga,,,,,,,,,,,,
Outros Violencia Domestica,Sever do Vouga,,,,,,,3.0,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Vagos,45.0,46.0,54.0,38.0,30.0,36.0,36.0,41.0,38.0,37.0,41.0,47.0
Violencia Domestica Menores,Vagos,,,,,,,,,,,,
Outros Violencia Domestica,Vagos,8.0,14.0,14.0,3.0,14.0,15.0,16.0,13.0,21.0,12.0,9.0,11.0
Violencia Domestica Conjuge ou Analogo,Vale de Cambra,47.0,40.0,37.0,38.0,24.0,38.0,27.0,19.0,20.0,13.0,29.0,35.0
Violencia Domestica Menores,Vale de Cambra,,,,,,,,,,,,
Outros Violencia Domestica,Vale de Cambra,,4.0,,,7.0,4.0,3.0,,4.0,,,5.0
Violencia Domestica Conjuge ou Analogo,Aljustrel,16.0,17.0,13.0,8.0,19.0,18.0,19.0,11.0,20.0,26.0,21.0,13.0
Violencia Domestica Menores,Aljustrel,,,,,,,,,,,,
Outros Violencia Domestica,Aljustrel,,,5.0,,10.0,9.0,5.0,5.0,8.0,5.0,6.0,8.0
Violencia Domestica Conjuge ou Analogo,Almodóvar,,,9.0,3.0,3.0,6.0,8.0,6.0,3.0,,5.0,9.0
Violencia Domestica Menores,Almodóvar,,,,,,,,,,,,
Outros Violencia Domestica,Almodóvar,,,,,4.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Alvito,7.0,,,4.0,5.0,3.0,15.0,4.0,,6.0,8.0,4.0
Violencia Domestica Menores,Alvito,,,,,,,,,,,,
Outros Violencia Domestica,Alvito,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Barrancos,,,3.0,6.0,3.0,3.0,,,3.0,5.0,,3.0
Outros Violencia Domestica,Barrancos,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Beja,51.0,94.0,60.0,49.0,70.0,61.0,55.0,52.0,47.0,54.0,57.0,56.0
Violencia Domestica Menores,Beja,4.0,3.0,3.0,,,3.0,,,,,,
Outros Violencia Domestica,Beja,11.0,17.0,13.0,15.0,9.0,7.0,14.0,9.0,7.0,5.0,13.0,16.0
Violencia Domestica Conjuge ou Analogo,Castro Verde,,8.0,11.0,8.0,11.0,15.0,13.0,8.0,5.0,7.0,10.0,10.0
Violencia Domestica Menores,Castro Verde,,,,,,,,,,,,
Outros Violencia Domestica,Castro Verde,3.0,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Cuba,7.0,4.0,6.0,5.0,11.0,8.0,13.0,13.0,7.0,6.0,6.0,10.0
Violencia Domestica Menores,Cuba,,,,,,,,,4.0,,,
Outros Violencia Domestica,Cuba,,,,,3.0,4.0,,,,,,
Violencia Domestica Conjuge ou Analogo,Ferreira do Alentejo,12.0,8.0,16.0,27.0,28.0,16.0,16.0,16.0,27.0,26.0,43.0,24.0
Violencia Domestica Menores,Ferreira do Alentejo,,,,,,,,,,,,
Outros Violencia Domestica,Ferreira do Alentejo,,,,3.0,7.0,4.0,4.0,,,,,
Violencia Domestica Conjuge ou Analogo,Mértola,,,,5.0,10.0,7.0,5.0,7.0,,6.0,7.0,5.0
Violencia Domestica Menores,Mértola,,,,,,,,,,,,
Outros Violencia Domestica,Mértola,,,,,,,,,,,6.0,
Violencia Domestica Conjuge ou Analogo,Moura,17.0,27.0,37.0,23.0,25.0,33.0,29.0,32.0,32.0,36.0,23.0,19.0
Violencia Domestica Menores,Moura,,,,,,,,,,,,
Outros Violencia Domestica,Moura,,3.0,6.0,3.0,14.0,10.0,9.0,7.0,4.0,5.0,10.0,6.0
Violencia Domestica Conjuge ou Analogo,Odemira,30.0,27.0,26.0,35.0,30.0,39.0,23.0,25.0,47.0,36.0,51.0,65.0
Violencia Domestica Menores,Odemira,,,3.0,,,,,,,,,
Outros Violencia Domestica,Odemira,,3.0,,,6.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0
Violencia Domestica Conjuge ou Analogo,Ourique,5.0,4.0,9.0,,6.0,8.0,3.0,4.0,7.0,4.0,3.0,8.0
Violencia Domestica Menores,Ourique,,,,,,,,,,,,
Outros Violencia Domestica,Ourique,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Serpa,13.0,7.0,22.0,15.0,9.0,21.0,7.0,10.0,19.0,23.0,22.0,25.0
Violencia Domestica Menores,Serpa,,,,,,,,,,,,
Outros Violencia Domestica,Serpa,3.0,4.0,,,,3.0,,3.0,,,5.0,5.0
Violencia Domestica Conjuge ou Analogo,Vidigueira,10.0,12.0,18.0,12.0,11.0,13.0,15.0,17.0,9.0,7.0,8.0,9.0
Violencia Domestica Menores,Vidigueira,,,,,,,,,,,,
Outros Violencia Domestica,Vidigueira,4.0,5.0,,4.0,12.0,3.0,,6.0,3.0,4.0,,
Violencia Domestica Conjuge ou Analogo,Amares,36.0,55.0,75.0,73.0,60.0,51.0,37.0,44.0,49.0,60.0,57.0,67.0
Violencia Domestica Menores,Amares,,,5.0,,,,4.0,,3.0,,,
Outros Violencia Domestica,Amares,5.0,22.0,27.0,24.0,13.0,7.0,6.0,17.0,8.0,7.0,,7.0
Violencia Domestica Conjuge ou Analogo,Barcelos,112.0,161.0,172.0,199.0,150.0,198.0,185.0,192.0,219.0,229.0,234.0,247.0
Violencia Domestica Menores,Barcelos,,,,,4.0,7.0,,,,,,9.0
Outros Violencia Domestica,Barcelos,10.0,17.0,18.0,30.0,42.0,26.0,26.0,28.0,29.0,42.0,30.0,36.0
Violencia Domestica Conjuge ou Analogo,Braga,213.0,260.0,361.0,305.0,362.0,370.0,323.0,329.0,359.0,345.0,373.0,384.0
Violencia Domestica Menores,Braga,4.0,4.0,5.0,8.0,,3.0,6.0,7.0,6.0,4.0,9.0,8.0
Outros Violencia Domestica,Braga,27.0,37.0,70.0,54.0,40.0,46.0,34.0,30.0,58.0,91.0,42.0,59.0
Violencia Domestica Conjuge ou Analogo,Cabeceiras de Basto,30.0,24.0,28.0,24.0,28.0,16.0,19.0,29.0,31.0,51.0,30.0,29.0
Violencia Domestica Menores,Cabeceiras de Basto,,,,,,,,,,,,
Outros Violencia Domestica,Cabeceiras de Basto,4.0,,7.0,5.0,6.0,,5.0,5.0,4.0,8.0,11.0,6.0
Violencia Domestica Conjuge ou Analogo,Celorico de Basto,29.0,34.0,37.0,17.0,21.0,28.0,21.0,26.0,29.0,39.0,38.0,16.0
Violencia Domestica Menores,Celorico de Basto,,6.0,,,,,,,,,,
Outros Violencia Domestica,Celorico de Basto,,6.0,4.0,4.0,,,,8.0,5.0,7.0,9.0,4.0
Violencia Domestica Conjuge ou Analogo,Esposende,77.0,86.0,66.0,41.0,70.0,41.0,64.0,64.0,64.0,66.0,48.0,63.0
Violencia Domestica Menores,Esposende,3.0,,,,,,,,,,,
Outros Violencia Domestica,Esposende,5.0,4.0,11.0,18.0,16.0,10.0,7.0,9.0,11.0,8.0,,6.0
Violencia Domestica Conjuge ou Analogo,Fafe,98.0,92.0,91.0,74.0,82.0,87.0,97.0,73.0,77.0,102.0,113.0,119.0
Violencia Domestica Menores,Fafe,,,7.0,,,,5.0,3.0,,,,3.0
Outros Violencia Domestica,Fafe,28.0,22.0,13.0,30.0,15.0,18.0,23.0,17.0,7.0,8.0,16.0,9.0
Violencia Domestica Conjuge ou Analogo,Guimarães,191.0,233.0,307.0,278.0,204.0,254.0,252.0,228.0,226.0,230.0,235.0,290.0
Violencia Domestica Menores,Guimarães,3.0,6.0,4.0,3.0,4.0,3.0,4.0,,,4.0,,3.0
Outros Violencia Domestica,Guimarães,26.0,28.0,40.0,51.0,38.0,48.0,43.0,43.0,63.0,37.0,47.0,46.0
Violencia Domestica Conjuge ou Analogo,Póvoa de Lanhoso,28.0,15.0,34.0,25.0,42.0,28.0,30.0,37.0,41.0,48.0,52.0,37.0
Violencia Domestica Menores,Póvoa de Lanhoso,,,,,,,,,,,,
Outros Violencia Domestica,Póvoa de Lanhoso,,3.0,3.0,8.0,10.0,9.0,14.0,9.0,11.0,4.0,12.0,6.0
Violencia Domestica Conjuge ou Analogo,Terras de Bouro,11.0,10.0,9.0,23.0,11.0,7.0,8.0,11.0,10.0,17.0,12.0,17.0
Violencia Domestica Menores,Terras de Bouro,,,,,,,,,,,,
Outros Violencia Domestica,Terras de Bouro,6.0,,,6.0,4.0,6.0,,,3.0,4.0,,
Violencia Domestica Conjuge ou Analogo,Vieira do Minho,29.0,14.0,18.0,17.0,26.0,23.0,15.0,20.0,16.0,24.0,15.0,23.0
Violencia Domestica Menores,Vieira do Minho,,,,,,,,,,,,
Outros Violencia Domestica,Vieira do Minho,4.0,,,3.0,6.0,4.0,5.0,4.0,8.0,5.0,3.0,5.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Famalicão,166.0,156.0,197.0,198.0,222.0,320.0,263.0,247.0,250.0,214.0,237.0,249.0
Violencia Domestica Menores,Vila Nova de Famalicão,4.0,6.0,3.0,,,6.0,6.0,3.0,4.0,3.0,,
Outros Violencia Domestica,Vila Nova de Famalicão,22.0,25.0,7.0,15.0,13.0,34.0,29.0,31.0,40.0,29.0,24.0,31.0
Violencia Domestica Conjuge ou Analogo,Vila Verde,43.0,89.0,126.0,93.0,111.0,117.0,68.0,79.0,85.0,106.0,96.0,114.0
Violencia Domestica Menores,Vila Verde,,,,,,,,3.0,,,,
Outros Violencia Domestica,Vila Verde,8.0,11.0,10.0,8.0,20.0,26.0,15.0,33.0,29.0,9.0,18.0,13.0
Violencia Domestica Conjuge ou Analogo,Vizela,31.0,34.0,42.0,45.0,44.0,47.0,39.0,28.0,38.0,24.0,25.0,37.0
Violencia Domestica Menores,Vizela,,,3.0,,,,,,,,,
Outros Violencia Domestica,Vizela,,,6.0,3.0,,,3.0,,5.0,,,3.0
Violencia Domestica Conjuge ou Analogo,Alfândega da Fé,7.0,4.0,9.0,9.0,16.0,7.0,6.0,13.0,5.0,6.0,8.0,11.0
Outros Violencia Domestica,Alfândega da Fé,,,,5.0,,,,3.0,,,,4.0
Violencia Domestica Conjuge ou Analogo,Bragança,79.0,77.0,51.0,74.0,59.0,90.0,82.0,50.0,72.0,66.0,53.0,76.0
Violencia Domestica Menores,Bragança,,3.0,,,,,3.0,,3.0,,,
Outros Violencia Domestica,Bragança,12.0,9.0,8.0,6.0,8.0,4.0,4.0,11.0,8.0,7.0,14.0,7.0
Violencia Domestica Conjuge ou Analogo,Carrazeda de Ansiães,10.0,17.0,9.0,13.0,12.0,15.0,14.0,14.0,14.0,8.0,11.0,9.0
Violencia Domestica Menores,Carrazeda de Ansiães,,,,,,,,,,,,
Outros Violencia Domestica,Carrazeda de Ansiães,,,,,5.0,,10.0,6.0,8.0,6.0,,
Violencia Domestica Conjuge ou Analogo,Freixo de Espada à Cinta,9.0,5.0,12.0,14.0,9.0,5.0,12.0,11.0,8.0,11.0,8.0,9.0
Violencia Domestica Menores,Freixo de Espada à Cinta,,,,,,,,,,,,
Outros Violencia Domestica,Freixo de Espada à Cinta,,,4.0,,3.0,,4.0,6.0,3.0,,,3.0
Violencia Domestica Conjuge ou Analogo,Macedo de Cavaleiros,14.0,18.0,41.0,25.0,26.0,30.0,27.0,32.0,42.0,37.0,32.0,39.0
Violencia Domestica Menores,Macedo de Cavaleiros,,,,,,3.0,,,,,,
Outros Violencia Domestica,Macedo de Cavaleiros,,,5.0,7.0,,10.0,16.0,14.0,9.0,3.0,,4.0
Violencia Domestica Conjuge ou Analogo,Miranda do Douro,14.0,6.0,13.0,17.0,12.0,25.0,15.0,17.0,19.0,9.0,19.0,8.0
Violencia Domestica Menores,Miranda do Douro,,,,,,,,,,,,
Outros Violencia Domestica,Miranda do Douro,,,,,4.0,,7.0,3.0,4.0,,,
Violencia Domestica Conjuge ou Analogo,Mirandela,47.0,56.0,105.0,73.0,76.0,49.0,62.0,57.0,42.0,48.0,32.0,63.0
Violencia Domestica Menores,Mirandela,,,,,4.0,,,,3.0,,,
Outros Violencia Domestica,Mirandela,4.0,5.0,6.0,13.0,17.0,26.0,29.0,18.0,22.0,26.0,12.0,13.0
Violencia Domestica Conjuge ou Analogo,Mogadouro,12.0,11.0,20.0,18.0,15.0,9.0,16.0,22.0,18.0,16.0,24.0,24.0
Violencia Domestica Menores,Mogadouro,,,,,,,,,,,,
Outros Violencia Domestica,Mogadouro,5.0,5.0,,3.0,4.0,,4.0,3.0,,3.0,4.0,3.0
Violencia Domestica Conjuge ou Analogo,Torre de Moncorvo,11.0,9.0,22.0,31.0,14.0,21.0,15.0,11.0,13.0,9.0,11.0,10.0
Violencia Domestica Menores,Torre de Moncorvo,,,,,,,,,,,,
Outros Violencia Domestica,Torre de Moncorvo,,,3.0,3.0,,6.0,3.0,6.0,7.0,,,6.0
Violencia Domestica Conjuge ou Analogo,Vila Flor,7.0,16.0,23.0,17.0,24.0,12.0,6.0,11.0,9.0,14.0,16.0,15.0
Violencia Domestica Menores,Vila Flor,,,,,,,,,,,,
Outros Violencia Domestica,Vila Flor,,,,,10.0,8.0,3.0,6.0,7.0,,3.0,
Violencia Domestica Conjuge ou Analogo,Vimioso,6.0,11.0,11.0,6.0,9.0,13.0,11.0,9.0,5.0,9.0,13.0,15.0
Violencia Domestica Menores,Vimioso,,,,,,,,,,,,
Outros Violencia Domestica,Vimioso,3.0,4.0,,,,,,3.0,,3.0,4.0,
Violencia Domestica Conjuge ou Analogo,Vinhais,4.0,,8.0,12.0,9.0,5.0,10.0,6.0,10.0,12.0,14.0,12.0
Violencia Domestica Menores,Vinhais,,,,,,,,,,,,
Outros Violencia Domestica,Vinhais,,,,,,,,,3.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Belmonte,19.0,25.0,22.0,21.0,18.0,17.0,17.0,19.0,19.0,25.0,19.0,21.0
Violencia Domestica Menores,Belmonte,3.0,,,,,,,,,3.0,,
Outros Violencia Domestica,Belmonte,4.0,,8.0,7.0,11.0,8.0,5.0,5.0,8.0,,4.0,7.0
Violencia Domestica Conjuge ou Analogo,Castelo Branco,120.0,120.0,87.0,95.0,92.0,144.0,156.0,123.0,115.0,128.0,101.0,133.0
Violencia Domestica Menores,Castelo Branco,3.0,6.0,6.0,7.0,3.0,7.0,4.0,5.0,7.0,3.0,3.0,5.0
Outros Violencia Domestica,Castelo Branco,15.0,34.0,45.0,57.0,38.0,22.0,19.0,20.0,23.0,13.0,16.0,21.0
Violencia Domestica Conjuge ou Analogo,Covilhã,124.0,88.0,132.0,101.0,91.0,82.0,106.0,97.0,113.0,100.0,131.0,143.0
Violencia Domestica Menores,Covilhã,4.0,,5.0,,,,,,,,4.0,
Outros Violencia Domestica,Covilhã,6.0,8.0,36.0,33.0,28.0,26.0,25.0,21.0,20.0,22.0,31.0,42.0
Violencia Domestica Conjuge ou Analogo,Fundão,50.0,48.0,51.0,38.0,32.0,40.0,43.0,59.0,48.0,44.0,57.0,68.0
Violencia Domestica Menores,Fundão,,,,,,,,,,,3.0,4.0
Outros Violencia Domestica,Fundão,4.0,4.0,3.0,6.0,7.0,12.0,16.0,11.0,4.0,3.0,9.0,14.0
Violencia Domestica Conjuge ou Analogo,Idanha-a-Nova,7.0,13.0,18.0,15.0,15.0,14.0,12.0,10.0,14.0,14.0,17.0,20.0
Violencia Domestica Menores,Idanha-a-Nova,,,,,,,,,,,,
Outros Violencia Domestica,Idanha-a-Nova,,,,4.0,4.0,3.0,,,5.0,15.0,,7.0
Violencia Domestica Conjuge ou Analogo,Oleiros,,9.0,9.0,21.0,15.0,6.0,8.0,11.0,9.0,12.0,6.0,3.0
Violencia Domestica Menores,Oleiros,,,,,,,,,3.0,,,
Outros Violencia Domestica,Oleiros,,,,,,,3.0,,,,,5.0
Violencia Domestica Conjuge ou Analogo,Penamacor,,5.0,7.0,10.0,17.0,14.0,11.0,5.0,13.0,14.0,10.0,14.0
Violencia Domestica Menores,Penamacor,,,,,,,,,,,,
Outros Violencia Domestica,Penamacor,,,,,3.0,,6.0,4.0,4.0,,,3.0
Violencia Domestica Conjuge ou Analogo,Proença-a-Nova,3.0,14.0,6.0,9.0,3.0,,,4.0,9.0,8.0,4.0,16.0
Violencia Domestica Menores,Proença-a-Nova,,,,,,,,3.0,,,,
Outros Violencia Domestica,Proença-a-Nova,,17.0,10.0,5.0,6.0,,,,5.0,,,
Violencia Domestica Conjuge ou Analogo,Sertã,18.0,21.0,19.0,17.0,14.0,34.0,20.0,17.0,22.0,17.0,25.0,44.0
Violencia Domestica Menores,Sertã,,,,,,,,,,,,
Outros Violencia Domestica,Sertã,,4.0,,,3.0,4.0,8.0,6.0,3.0,10.0,,8.0
Violencia Domestica Conjuge ou Analogo,Vila de Rei,,3.0,6.0,,6.0,,,9.0,4.0,7.0,4.0,3.0
Outros Violencia Domestica,Vila de Rei,,,3.0,6.0,3.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Vila Velha de Ródão,,,3.0,3.0,3.0,4.0,4.0,8.0,3.0,7.0,8.0,3.0
Violencia Domestica Menores,Vila Velha de Ródão,,,,,,,,,,,,
Outros Violencia Domestica,Vila Velha de Ródão,,,3.0,,,,,,4.0,,4.0,
Violencia Domestica Conjuge ou Analogo,Arganil,33.0,23.0,27.0,20.0,15.0,25.0,19.0,27.0,29.0,18.0,22.0,21.0
Violencia Domestica Menores,Arganil,,,,,,,,,,,,
Outros Violencia Domestica,Arganil,25.0,6.0,13.0,6.0,,,5.0,4.0,4.0,6.0,,
Violencia Domestica Conjuge ou Analogo,Cantanhede,66.0,64.0,82.0,87.0,91.0,77.0,97.0,112.0,95.0,74.0,82.0,92.0
Violencia Domestica Menores,Cantanhede,,,,,,,,4.0,,,,5.0
Outros Violencia Domestica,Cantanhede,3.0,17.0,6.0,,5.0,10.0,12.0,9.0,7.0,8.0,13.0,14.0
Violencia Domestica Conjuge ou Analogo,Coimbra,380.0,356.0,346.0,372.0,365.0,385.0,394.0,356.0,342.0,321.0,276.0,264.0
Violencia Domestica Menores,Coimbra,12.0,3.0,7.0,6.0,6.0,10.0,4.0,9.0,4.0,5.0,5.0,9.0
Outros Violencia Domestica,Coimbra,32.0,27.0,33.0,25.0,39.0,39.0,53.0,65.0,59.0,43.0,42.0,43.0
Violencia Domestica Conjuge ou Analogo,Condeixa-a-Nova,29.0,32.0,43.0,36.0,33.0,38.0,39.0,35.0,25.0,26.0,14.0,17.0
Violencia Domestica Menores,Condeixa-a-Nova,,,,,,,,3.0,,,,
Outros Violencia Domestica,Condeixa-a-Nova,3.0,4.0,,,,4.0,,,6.0,4.0,,
Violencia Domestica Conjuge ou Analogo,Figueira da Foz,85.0,137.0,138.0,144.0,139.0,152.0,137.0,115.0,130.0,116.0,134.0,155.0
Violencia Domestica Menores,Figueira da Foz,3.0,,,,6.0,,6.0,4.0,,3.0,,
Outros Violencia Domestica,Figueira da Foz,15.0,19.0,15.0,13.0,3.0,9.0,9.0,6.0,6.0,9.0,14.0,21.0
Violencia Domestica Conjuge ou Analogo,Góis,29.0,13.0,11.0,8.0,5.0,3.0,11.0,3.0,11.0,3.0,10.0,6.0
Violencia Domestica Menores,Góis,,,,,,,,,,,,
Outros Violencia Domestica,Góis,,,,,,,,,3.0,,,
Violencia Domestica Conjuge ou Analogo,Lousã,61.0,62.0,51.0,52.0,47.0,33.0,32.0,35.0,37.0,31.0,26.0,33.0
Violencia Domestica Menores,Lousã,3.0,,,,,,,,,,,
