Tipo_Crime,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Outros Violencia Domestica,Lousã,11.0,4.0,3.0,4.0,,,4.0,,,4.0,8.0,
Violencia Domestica Conjuge ou Analogo,Mira,17.0,11.0,11.0,13.0,18.0,30.0,33.0,25.0,25.0,33.0,25.0,42.0
Violencia Domestica Menores,Mira,,,,,,,,,,,,
Outros Violencia Domestica,Mira,8.0,3.0,,,,4.0,4.0,3.0,,3.0,8.0,5.0
Violencia Domestica Conjuge ou Analogo,Miranda do Corvo,30.0,28.0,33.0,20.0,25.0,27.0,27.0,27.0,21.0,19.0,25.0,18.0
Violencia Domestica Menores,Miranda do Corvo,3.0,,,,,,,,,,,
Outros Violencia Domestica,Miranda do Corvo,5.0,,4.0,,4.0,,,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Montemor-o-Velho,64.0,77.0,85.0,66.0,54.0,57.0,47.0,50.0,62.0,49.0,36.0,41.0
Violencia Domestica Menores,Montemor-o-Velho,,,3.0,,,,,,,,,3.0
Outros Violencia Domestica,Montemor-o-Velho,5.0,9.0,3.0,,7.0,10.0,13.0,7.0,9.0,5.0,8.0,10.0
Violencia Domestica Conjuge ou Analogo,Oliveira do Hospital,24.0,46.0,30.0,34.0,18.0,50.0,34.0,27.0,36.0,27.0,27.0,42.0
Violencia Domestica Menores,Oliveira do Hospital,,,,,,,,,,,,
Outros Violencia Domestica,Oliveira do Hospital,3.0,3.0,,,,,,3.0,,,3.0,10.0
Violencia Domestica Conjuge ou Analogo,Pampilhosa da Serra,12.0,6.0,7.0,3.0,5.0,6.0,,,7.0,,7.0,5.0
Outros Violencia Domestica,Pampilhosa da Serra,4.0,,4.0,,,,,,,,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Penacova,25.0,32.0,22.0,17.0,17.0,26.0,40.0,26.0,29.0,35.0,24.0,11.0
Violencia Domestica Menores,Penacova,,,,,,,,,,,,
Outros Violencia Domestica,Penacova,5.0,3.0,,,,,,,,,,4.0
Violencia Domestica Conjuge ou Analogo,Penela,5.0,10.0,6.0,9.0,7.0,13.0,16.0,6.0,11.0,11.0,7.0,10.0
Outros Violencia Domestica,Penela,,,3.0,,,,,5.0,,,,
Violencia Domestica Conjuge ou Analogo,Soure,13.0,26.0,12.0,14.0,27.0,29.0,31.0,34.0,34.0,26.0,31.0,16.0
Violencia Domestica Menores,Soure,,,,,,,,,,,,
Outros Violencia Domestica,Soure,,6.0,3.0,3.0,8.0,8.0,3.0,7.0,7.0,11.0,8.0,10.0
Violencia Domestica Conjuge ou Analogo,Tábua,30.0,21.0,26.0,42.0,28.0,32.0,36.0,12.0,26.0,20.0,20.0,26.0
Violencia Domestica Menores,Tábua,,,4.0,,,,,,,,,
Outros Violencia Domestica,Tábua,,,,,5.0,8.0,6.0,3.0,6.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Poiares,20.0,12.0,22.0,12.0,9.0,19.0,9.0,11.0,12.0,13.0,16.0,16.0
Violencia Domestica Menores,Vila Nova de Poiares,,,,,,,,,,,,
Outros Violencia Domestica,Vila Nova de Poiares,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Alandroal,8.0,4.0,8.0,11.0,5.0,3.0,4.0,,7.0,,4.0,14.0
Violencia Domestica Menores,Alandroal,,,,,,,,,,,,
Outros Violencia Domestica,Alandroal,,,,3.0,,,,,,,3.0,
Violencia Domestica Conjuge ou Analogo,Arraiolos,7.0,14.0,16.0,7.0,8.0,8.0,12.0,11.0,14.0,12.0,14.0,5.0
Violencia Domestica Menores,Arraiolos,,,,,,,,,,,,
Outros Violencia Domestica,Arraiolos,,,,5.0,,,,3.0,3.0,,,
Violencia Domestica Conjuge ou Analogo,Borba,4.0,15.0,13.0,12.0,8.0,11.0,5.0,6.0,11.0,13.0,12.0,11.0
Violencia Domestica Menores,Borba,,,,,,,,,,,,
Outros Violencia Domestica,Borba,,,,,3.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Estremoz,12.0,17.0,13.0,27.0,13.0,31.0,13.0,19.0,19.0,26.0,17.0,20.0
Violencia Domestica Menores,Estremoz,,,,,,,,,,,,
Outros Violencia Domestica,Estremoz,,,7.0,,,4.0,3.0,4.0,,4.0,7.0,8.0
Violencia Domestica Conjuge ou Analogo,Évora,114.0,167.0,144.0,166.0,143.0,135.0,112.0,139.0,141.0,128.0,124.0,114.0
Violencia Domestica Menores,Évora,,3.0,3.0,3.0,,,,,,,,6.0
Outros Violencia Domestica,Évora,15.0,9.0,15.0,13.0,14.0,19.0,20.0,14.0,19.0,30.0,11.0,19.0
Violencia Domestica Conjuge ou Analogo,Montemor-o-Novo,21.0,34.0,32.0,24.0,29.0,21.0,20.0,26.0,18.0,26.0,17.0,11.0
Violencia Domestica Menores,Montemor-o-Novo,,,4.0,,6.0,,,,,,,5.0
Outros Violencia Domestica,Montemor-o-Novo,4.0,5.0,,4.0,,,,,,,4.0,4.0
Violencia Domestica Conjuge ou Analogo,Mora,8.0,,10.0,13.0,10.0,14.0,9.0,8.0,16.0,11.0,12.0,12.0
Violencia Domestica Menores,Mora,,,,,,,,,,,,
Outros Violencia Domestica,Mora,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Mourão,3.0,3.0,7.0,4.0,4.0,9.0,5.0,,5.0,5.0,5.0,5.0
Violencia Domestica Menores,Mourão,,,,,,,,,,,,
Outros Violencia Domestica,Mourão,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Portel,6.0,4.0,4.0,5.0,10.0,11.0,5.0,6.0,15.0,11.0,11.0,10.0
Violencia Domestica Menores,Portel,,,,,,,,,,,,
Outros Violencia Domestica,Portel,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Redondo,4.0,27.0,23.0,15.0,18.0,23.0,29.0,13.0,20.0,15.0,21.0,18.0
Violencia Domestica Menores,Redondo,,,,,,,,,,,,
Outros Violencia Domestica,Redondo,5.0,,5.0,4.0,,,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Reguengos de Monsaraz,10.0,16.0,20.0,20.0,24.0,18.0,26.0,33.0,29.0,14.0,32.0,22.0
Violencia Domestica Menores,Reguengos de Monsaraz,,,,,,,,,,,,
Outros Violencia Domestica,Reguengos de Monsaraz,4.0,3.0,,3.0,,,3.0,,,,4.0,6.0
Violencia Domestica Conjuge ou Analogo,Vendas Novas,26.0,17.0,32.0,49.0,72.0,26.0,38.0,40.0,32.0,57.0,38.0,51.0
Violencia Domestica Menores,Vendas Novas,,,,,3.0,,,,,,,4.0
Outros Violencia Domestica,Vendas Novas,,4.0,,,,9.0,9.0,,3.0,,,3.0
Violencia Domestica Conjuge ou Analogo,Viana do Alentejo,14.0,17.0,14.0,17.0,26.0,9.0,6.0,13.0,15.0,6.0,11.0,11.0
Violencia Domestica Menores,Viana do Alentejo,,,,,,,,,,,,
Outros Violencia Domestica,Viana do Alentejo,,3.0,3.0,5.0,3.0,,5.0,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Vila Viçosa,6.0,6.0,11.0,3.0,8.0,8.0,10.0,7.0,9.0,9.0,7.0,8.0
Outros Violencia Domestica,Vila Viçosa,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Albufeira,68.0,106.0,143.0,143.0,149.0,121.0,112.0,135.0,140.0,124.0,107.0,129.0
Violencia Domestica Menores,Albufeira,4.0,,,,13.0,,5.0,,,,,5.0
Outros Violencia Domestica,Albufeira,6.0,,4.0,,,,,,4.0,12.0,16.0,16.0
Violencia Domestica Conjuge ou Analogo,Alcoutim,3.0,3.0,6.0,3.0,6.0,,3.0,,4.0,4.0,5.0,5.0
Outros Violencia Domestica,Alcoutim,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Aljezur,5.0,5.0,3.0,4.0,13.0,8.0,7.0,4.0,7.0,3.0,9.0,12.0
Violencia Domestica Menores,Aljezur,,,,,,,,,,,,
Outros Violencia Domestica,Aljezur,,,,,,,,,,4.0,3.0,
Violencia Domestica Conjuge ou Analogo,Castro Marim,11.0,15.0,9.0,10.0,9.0,7.0,7.0,11.0,5.0,8.0,11.0,11.0
Violencia Domestica Menores,Castro Marim,,,,,,,,,,,,
Outros Violencia Domestica,Castro Marim,,3.0,3.0,,6.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Faro,144.0,102.0,196.0,166.0,171.0,165.0,189.0,187.0,179.0,196.0,162.0,223.0
Violencia Domestica Menores,Faro,10.0,8.0,4.0,,,5.0,,,4.0,6.0,4.0,
Outros Violencia Domestica,Faro,37.0,27.0,60.0,78.0,54.0,51.0,50.0,64.0,52.0,47.0,25.0,28.0
Violencia Domestica Conjuge ou Analogo,Lagoa,56.0,62.0,75.0,44.0,33.0,53.0,49.0,58.0,68.0,60.0,61.0,79.0
Violencia Domestica Menores,Lagoa,8.0,,3.0,,,,,,,,,
Outros Violencia Domestica,Lagoa,4.0,6.0,16.0,13.0,3.0,,10.0,3.0,8.0,8.0,6.0,8.0
Violencia Domestica Conjuge ou Analogo,Lagos,69.0,72.0,78.0,68.0,50.0,58.0,86.0,58.0,56.0,61.0,68.0,63.0
Violencia Domestica Menores,Lagos,6.0,,,,,,,,,5.0,,
Outros Violencia Domestica,Lagos,5.0,5.0,20.0,8.0,11.0,8.0,12.0,9.0,10.0,18.0,19.0,22.0
Violencia Domestica Conjuge ou Analogo,Loulé,104.0,127.0,149.0,136.0,161.0,148.0,148.0,146.0,214.0,222.0,214.0,267.0
Violencia Domestica Menores,Loulé,3.0,6.0,3.0,4.0,7.0,5.0,,,4.0,,7.0,6.0
Outros Violencia Domestica,Loulé,6.0,31.0,46.0,59.0,73.0,80.0,74.0,74.0,20.0,20.0,31.0,34.0
Violencia Domestica Conjuge ou Analogo,Monchique,5.0,3.0,7.0,5.0,3.0,,4.0,5.0,9.0,8.0,8.0,7.0
Violencia Domestica Menores,Monchique,,,,,,,,,,,,
Outros Violencia Domestica,Monchique,3.0,,,3.0,3.0,,,,,,3.0,
Violencia Domestica Conjuge ou Analogo,Olhão,116.0,128.0,138.0,156.0,141.0,138.0,131.0,146.0,136.0,122.0,130.0,122.0
Violencia Domestica Menores,Olhão,6.0,4.0,3.0,,,4.0,6.0,,,3.0,6.0,5.0
Outros Violencia Domestica,Olhão,7.0,25.0,14.0,9.0,15.0,13.0,12.0,8.0,16.0,43.0,32.0,27.0
Violencia Domestica Conjuge ou Analogo,Portimão,145.0,170.0,168.0,168.0,135.0,125.0,141.0,124.0,129.0,184.0,163.0,172.0
Violencia Domestica Menores,Portimão,6.0,6.0,6.0,5.0,,,,,,,5.0,3.0
Outros Violencia Domestica,Portimão,52.0,22.0,23.0,25.0,32.0,37.0,23.0,12.0,10.0,14.0,7.0,9.0
Violencia Domestica Conjuge ou Analogo,São Brás de Alportel,16.0,13.0,13.0,19.0,12.0,12.0,15.0,33.0,22.0,19.0,33.0,30.0
Violencia Domestica Menores,São Brás de Alportel,,,,3.0,,,,,,,,
Outros Violencia Domestica,São Brás de Alportel,,,,,5.0,,,10.0,5.0,8.0,8.0,6.0
Violencia Domestica Conjuge ou Analogo,Silves,62.0,91.0,100.0,58.0,77.0,72.0,75.0,83.0,76.0,76.0,91.0,132.0
Violencia Domestica Menores,Silves,6.0,3.0,,,,3.0,,,6.0,3.0,3.0,
Outros Violencia Domestica,Silves,7.0,9.0,14.0,4.0,13.0,10.0,9.0,10.0,14.0,8.0,17.0,25.0
Violencia Domestica Conjuge ou Analogo,Tavira,48.0,33.0,53.0,41.0,40.0,47.0,39.0,53.0,61.0,50.0,45.0,54.0
Violencia Domestica Menores,Tavira,4.0,,,,,,,,,,,
Outros Violencia Domestica,Tavira,11.0,15.0,5.0,12.0,7.0,4.0,10.0,13.0,10.0,14.0,16.0,18.0
Violencia Domestica Conjuge ou Analogo,Vila do Bispo,8.0,6.0,11.0,8.0,12.0,10.0,,,5.0,9.0,14.0,9.0
Violencia Domestica Menores,Vila do Bispo,,,,,,,,,,,,
Outros Violencia Domestica,Vila do Bispo,,,,,,,,,3.0,,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Vila Real de Santo António,38.0,49.0,53.0,57.0,67.0,61.0,55.0,51.0,66.0,63.0,48.0,62.0
Violencia Domestica Menores,Vila Real de Santo António,,,,,3.0,,,,,,,
Outros Violencia Domestica,Vila Real de Santo António,4.0,4.0,6.0,6.0,5.0,8.0,22.0,9.0,11.0,7.0,19.0,12.0
Violencia Domestica Conjuge ou Analogo,Aguiar da Beira,5.0,5.0,4.0,4.0,3.0,5.0,6.0,,9.0,5.0,8.0,
Outros Violencia Domestica,Aguiar da Beira,,,,,,,,,3.0,,,
Violencia Domestica Conjuge ou Analogo,Almeida,8.0,5.0,10.0,9.0,7.0,13.0,16.0,8.0,10.0,13.0,14.0,3.0
Violencia Domestica Menores,Almeida,,,,,,,,,,,,3.0
Outros Violencia Domestica,Almeida,,,,,4.0,,,4.0,,3.0,3.0,4.0
Violencia Domestica Conjuge ou Analogo,Celorico da Beira,5.0,12.0,8.0,16.0,14.0,23.0,28.0,25.0,21.0,18.0,15.0,17.0
Violencia Domestica Menores,Celorico da Beira,,,,,,,,,,,,
Outros Violencia Domestica,Celorico da Beira,,,,,,,3.0,4.0,,,,4.0
Violencia Domestica Conjuge ou Analogo,Figueira de Castelo Rodrigo,5.0,7.0,8.0,11.0,11.0,15.0,14.0,15.0,7.0,13.0,13.0,11.0
Violencia Domestica Menores,Figueira de Castelo Rodrigo,,,,,,,3.0,,,,,
Outros Violencia Domestica,Figueira de Castelo Rodrigo,,,,3.0,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Fornos de Algodres,7.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,6.0,7.0,11.0,3.0
Violencia Domestica Menores,Fornos de Algodres,,,,,,,,,,,,
Outros Violencia Domestica,Fornos de Algodres,,3.0,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Gouveia,16.0,20.0,17.0,19.0,18.0,23.0,25.0,27.0,17.0,19.0,14.0,29.0
Violencia Domestica Menores,Gouveia,,,,,,,,,,,,
Outros Violencia Domestica,Gouveia,,,7.0,,4.0,,5.0,3.0,5.0,,4.0,4.0
Violencia Domestica Conjuge ou Analogo,Guarda,65.0,51.0,77.0,67.0,84.0,64.0,79.0,91.0,78.0,75.0,73.0,91.0
Violencia Domestica Menores,Guarda,3.0,,,,3.0,,,4.0,3.0,5.0,4.0,
Outros Violencia Domestica,Guarda,4.0,6.0,9.0,6.0,11.0,12.0,13.0,6.0,7.0,7.0,12.0,13.0
Violencia Domestica Conjuge ou Analogo,Manteigas,5.0,4.0,5.0,15.0,9.0,14.0,14.0,12.0,3.0,6.0,7.0,
Violencia Domestica Menores,Manteigas,,,,,,,,,,,,
Outros Violencia Domestica,Manteigas,,,,,,,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Meda,10.0,10.0,10.0,8.0,4.0,3.0,13.0,9.0,7.0,20.0,13.0,14.0
Violencia Domestica Menores,Meda,,,,,,,,3.0,,,,
Outros Violencia Domestica,Meda,,,,,3.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Pinhel,9.0,7.0,5.0,5.0,,8.0,4.0,8.0,10.0,14.0,15.0,27.0
Violencia Domestica Menores,Pinhel,,,,,,,,,,,,3.0
Outros Violencia Domestica,Pinhel,,,,,,,,3.0,,,,3.0
Violencia Domestica Conjuge ou Analogo,Sabugal,4.0,8.0,7.0,9.0,8.0,7.0,19.0,13.0,15.0,15.0,14.0,19.0
Violencia Domestica Menores,Sabugal,,,,,,,,,,,,
Outros Violencia Domestica,Sabugal,,,,,,,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Seia,36.0,39.0,56.0,62.0,50.0,51.0,56.0,76.0,68.0,71.0,60.0,70.0
Violencia Domestica Menores,Seia,3.0,,3.0,3.0,4.0,,,,3.0,3.0,5.0,4.0
Outros Violencia Domestica,Seia,8.0,12.0,8.0,9.0,7.0,4.0,4.0,5.0,,10.0,7.0,10.0
Violencia Domestica Conjuge ou Analogo,Trancoso,15.0,24.0,14.0,13.0,11.0,22.0,17.0,23.0,19.0,20.0,23.0,24.0
Violencia Domestica Menores,Trancoso,,,5.0,,,,,,,,,
Outros Violencia Domestica,Trancoso,5.0,3.0,3.0,,3.0,,,,,,,4.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Foz Côa,8.0,10.0,19.0,15.0,6.0,17.0,19.0,24.0,18.0,31.0,34.0,29.0
Violencia Domestica Menores,Vila Nova de Foz Côa,,3.0,,,,,,3.0,,,,
Outros Violencia Domestica,Vila Nova de Foz Côa,,,,,,3.0,,3.0,,5.0,4.0,10.0
Violencia Domestica Conjuge ou Analogo,Alcobaça,76.0,73.0,120.0,112.0,85.0,87.0,96.0,69.0,79.0,64.0,55.0,59.0
Violencia Domestica Menores,Alcobaça,7.0,4.0,,5.0,,,,3.0,,,,
Outros Violencia Domestica,Alcobaça,12.0,5.0,21.0,24.0,29.0,24.0,29.0,30.0,23.0,20.0,23.0,31.0
Violencia Domestica Conjuge ou Analogo,Alvaiázere,14.0,10.0,20.0,15.0,13.0,9.0,5.0,7.0,13.0,15.0,8.0,11.0
Violencia Domestica Menores,Alvaiázere,3.0,,,,,3.0,,,,,,
Outros Violencia Domestica,Alvaiázere,,,,,3.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Ansião,45.0,32.0,25.0,16.0,29.0,17.0,15.0,13.0,19.0,11.0,22.0,12.0
Violencia Domestica Menores,Ansião,,,,,,,,,,,,
Outros Violencia Domestica,Ansião,16.0,10.0,7.0,3.0,6.0,9.0,5.0,,,,,
Violencia Domestica Conjuge ou Analogo,Batalha,33.0,37.0,47.0,27.0,24.0,24.0,29.0,32.0,18.0,31.0,31.0,29.0
Violencia Domestica Menores,Batalha,,,,4.0,,,3.0,,,,,
Outros Violencia Domestica,Batalha,4.0,14.0,10.0,16.0,12.0,13.0,20.0,10.0,5.0,9.0,5.0,8.0
Violencia Domestica Conjuge ou Analogo,Bombarral,37.0,43.0,45.0,29.0,46.0,40.0,26.0,20.0,14.0,23.0,28.0,27.0
Violencia Domestica Menores,Bombarral,,,,,,,,,,,,
Outros Violencia Domestica,Bombarral,6.0,,3.0,,6.0,6.0,3.0,,,3.0,3.0,
Violencia Domestica Conjuge ou Analogo,Caldas da Rainha,176.0,160.0,75.0,41.0,38.0,32.0,32.0,63.0,79.0,92.0,65.0,91.0
Violencia Domestica Menores,Caldas da Rainha,3.0,10.0,3.0,,,,,3.0,,,,4.0
Outros Violencia Domestica,Caldas da Rainha,25.0,19.0,15.0,15.0,5.0,11.0,5.0,4.0,17.0,23.0,23.0,42.0
Violencia Domestica Conjuge ou Analogo,Castanheira de Pêra,6.0,4.0,5.0,9.0,4.0,10.0,6.0,7.0,5.0,7.0,8.0,10.0
Violencia Domestica Menores,Castanheira de Pêra,,,,,,,,,,,,
Outros Violencia Domestica,Castanheira de Pêra,,,,,,,3.0,,,,,
Violencia Domestica Conjuge ou Analogo,Figueiró dos Vinhos,11.0,8.0,18.0,8.0,15.0,10.0,10.0,13.0,9.0,10.0,6.0,11.0
Violencia Domestica Menores,Figueiró dos Vinhos,,,,,,,,,,,,
Outros Violencia Domestica,Figueiró dos Vinhos,3.0,5.0,3.0,3.0,,,3.0,5.0,,,,
Violencia Domestica Conjuge ou Analogo,Leiria,190.0,206.0,227.0,251.0,233.0,224.0,240.0,266.0,214.0,220.0,214.0,217.0
Violencia Domestica Menores,Leiria,6.0,9.0,5.0,5.0,10.0,6.0,,,3.0,3.0,,8.0
Outros Violencia Domestica,Leiria,28.0,24.0,33.0,18.0,32.0,22.0,16.0,17.0,17.0,29.0,31.0,47.0
Violencia Domestica Conjuge ou Analogo,Marinha Grande,107.0,117.0,167.0,115.0,96.0,109.0,97.0,81.0,109.0,103.0,108.0,112.0
Violencia Domestica Menores,Marinha Grande,,,4.0,3.0,,,,,,,3.0,
Outros Violencia Domestica,Marinha Grande,4.0,7.0,11.0,14.0,11.0,13.0,17.0,20.0,6.0,15.0,13.0,24.0
Violencia Domestica Conjuge ou Analogo,Nazaré,18.0,41.0,41.0,27.0,36.0,29.0,25.0,27.0,25.0,46.0,27.0,42.0
Violencia Domestica Menores,Nazaré,,,,,,,,,,,,
Outros Violencia Domestica,Nazaré,,6.0,6.0,4.0,11.0,8.0,3.0,5.0,8.0,9.0,6.0,15.0
Violencia Domestica Conjuge ou Analogo,Óbidos,20.0,19.0,4.0,11.0,5.0,5.0,11.0,16.0,8.0,5.0,11.0,10.0
Violencia Domestica Menores,Óbidos,,3.0,,,,,,,,,,
Outros Violencia Domestica,Óbidos,,,,4.0,,,4.0,,4.0,4.0,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Pedrógão Grande,9.0,3.0,3.0,7.0,8.0,12.0,6.0,10.0,9.0,7.0,11.0,10.0
Violencia Domestica Menores,Pedrógão Grande,,,,,,,,,,,,
Outros Violencia Domestica,Pedrógão Grande,,,,,3.0,,,,,,5.0,4.0
Violencia Domestica Conjuge ou Analogo,Peniche,27.0,27.0,55.0,29.0,32.0,21.0,25.0,21.0,29.0,24.0,35.0,45.0
Violencia Domestica Menores,Peniche,4.0,,,,,,,3.0,,,3.0,
Outros Violencia Domestica,Peniche,10.0,5.0,13.0,9.0,4.0,4.0,13.0,8.0,7.0,3.0,11.0,18.0
Violencia Domestica Conjuge ou Analogo,Pombal,87.0,87.0,104.0,112.0,84.0,73.0,97.0,75.0,52.0,55.0,58.0,79.0
Violencia Domestica Menores,Pombal,,5.0,,4.0,4.0,5.0,,,,,,
Outros Violencia Domestica,Pombal,15.0,18.0,18.0,20.0,36.0,23.0,29.0,14.0,21.0,10.0,17.0,6.0
Violencia Domestica Conjuge ou Analogo,Porto de Mós,39.0,59.0,68.0,56.0,40.0,28.0,34.0,47.0,41.0,39.0,34.0,59.0
Violencia Domestica Menores,Porto de Mós,6.0,5.0,,,,,,,,,,
Outros Violencia Domestica,Porto de Mós,5.0,9.0,21.0,15.0,12.0,11.0,9.0,5.0,4.0,4.0,4.0,3.0
Violencia Domestica Conjuge ou Analogo,Alenquer,97.0,99.0,110.0,94.0,69.0,64.0,62.0,47.0,48.0,74.0,70.0,71.0
Violencia Domestica Menores,Alenquer,4.0,3.0,5.0,3.0,3.0,,3.0,,,,,5.0
Outros Violencia Domestica,Alenquer,9.0,11.0,10.0,7.0,10.0,6.0,5.0,4.0,3.0,3.0,10.0,12.0
Violencia Domestica Conjuge ou Analogo,Amadora,439.0,631.0,421.0,314.0,306.0,275.0,394.0,435.0,460.0,537.0,474.0,511.0
Violencia Domestica Menores,Amadora,6.0,8.0,11.0,7.0,12.0,8.0,13.0,9.0,11.0,8.0,7.0,10.0
Outros Violencia Domestica,Amadora,31.0,97.0,65.0,104.0,53.0,33.0,54.0,49.0,64.0,68.0,55.0,56.0
Violencia Domestica Conjuge ou Analogo,Arruda dos Vinhos,47.0,11.0,17.0,10.0,13.0,18.0,19.0,23.0,29.0,21.0,31.0,34.0
Violencia Domestica Menores,Arruda dos Vinhos,,,,,,,4.0,,,,,
Outros Violencia Domestica,Arruda dos Vinhos,,,,,5.0,,,3.0,3.0,3.0,7.0,5.0
Violencia Domestica Conjuge ou Analogo,Azambuja,50.0,46.0,44.0,57.0,35.0,47.0,46.0,41.0,37.0,23.0,35.0,53.0
Violencia Domestica Menores,Azambuja,,,,,,,,,,,,
Outros Violencia Domestica,Azambuja,4.0,,,,4.0,,4.0,8.0,11.0,3.0,10.0,15.0
Violencia Domestica Conjuge ou Analogo,Cadaval,8.0,15.0,28.0,34.0,28.0,16.0,19.0,17.0,32.0,27.0,33.0,23.0
Violencia Domestica Menores,Cadaval,,,3.0,,,,,,,,,
Outros Violencia Domestica,Cadaval,,5.0,,3.0,8.0,,,,8.0,5.0,3.0,4.0
Violencia Domestica Conjuge ou Analogo,Cascais,93.0,266.0,522.0,565.0,537.0,450.0,431.0,444.0,424.0,426.0,385.0,425.0
Violencia Domestica Menores,Cascais,,,6.0,15.0,6.0,6.0,8.0,9.0,9.0,6.0,6.0,16.0
Outros Violencia Domestica,Cascais,17.0,17.0,154.0,123.0,82.0,69.0,53.0,84.0,90.0,97.0,82.0,111.0
Violencia Domestica Conjuge ou Analogo,Lisboa,1104.0,1383.0,1371.0,1388.0,1224.0,1464.0,1497.0,1408.0,1482.0,1490.0,1334.0,1551.0
Violencia Domestica Menores,Lisboa,28.0,41.0,45.0,43.0,55.0,66.0,67.0,62.0,53.0,50.0,61.0,68.0
Outros Violencia Domestica,Lisboa,202.0,243.0,486.0,494.0,385.0,350.0,277.0,271.0,270.0,308.0,245.0,261.0
Violencia Domestica Conjuge ou Analogo,Loures,443.0,479.0,578.0,589.0,647.0,654.0,536.0,530.0,564.0,569.0,522.0,517.0
Violencia Domestica Menores,Loures,7.0,27.0,19.0,12.0,19.0,8.0,16.0,19.0,11.0,11.0,16.0,11.0
Outros Violencia Domestica,Loures,85.0,197.0,149.0,165.0,123.0,115.0,122.0,104.0,106.0,152.0,108.0,112.0
Violencia Domestica Conjuge ou Analogo,Lourinhã,29.0,38.0,60.0,52.0,52.0,31.0,30.0,41.0,27.0,34.0,34.0,44.0
Violencia Domestica Menores,Lourinhã,,,4.0,,,4.0,,,,,,
