Tipo_Crime,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Outros Violencia Domestica,Sines,,4.0,3.0,,,,5.0,12.0,9.0,6.0,3.0,6.0
Violencia Domestica Conjuge ou Analogo,Arcos de Valdevez,44.0,49.0,55.0,44.0,36.0,43.0,28.0,45.0,58.0,55.0,41.0,62.0
Violencia Domestica Menores,Arcos de Valdevez,,,,,,,,,,,,
Outros Violencia Domestica,Arcos de Valdevez,15.0,6.0,11.0,10.0,9.0,5.0,,3.0,5.0,,,7.0
Violencia Domestica Conjuge ou Analogo,Caminha,15.0,29.0,14.0,11.0,22.0,9.0,27.0,34.0,27.0,33.0,31.0,33.0
Violencia Domestica Menores,Caminha,,,,,,,,,,,,
Outros Violencia Domestica,Caminha,7.0,,13.0,,3.0,,4.0,,3.0,3.0,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Melgaço,9.0,26.0,23.0,5.0,5.0,9.0,10.0,11.0,11.0,10.0,12.0,14.0
Violencia Domestica Menores,Melgaço,,,,,,,,,,,,
Outros Violencia Domestica,Melgaço,4.0,,,,,,,,6.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Monção,12.0,13.0,18.0,26.0,17.0,20.0,19.0,16.0,21.0,23.0,18.0,21.0
Violencia Domestica Menores,Monção,,,,,,,,,,,,
Outros Violencia Domestica,Monção,,,,3.0,7.0,15.0,3.0,6.0,,5.0,4.0,3.0
Violencia Domestica Conjuge ou Analogo,Paredes de Coura,5.0,7.0,26.0,17.0,14.0,15.0,21.0,8.0,10.0,8.0,24.0,11.0
Violencia Domestica Menores,Paredes de Coura,,,,,,3.0,,,,,,
Outros Violencia Domestica,Paredes de Coura,,,3.0,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Ponte da Barca,14.0,26.0,26.0,22.0,21.0,16.0,9.0,9.0,22.0,26.0,37.0,21.0
Violencia Domestica Menores,Ponte da Barca,,,,,,,,,,,,
Outros Violencia Domestica,Ponte da Barca,4.0,,,5.0,9.0,9.0,4.0,5.0,4.0,8.0,5.0,7.0
Violencia Domestica Conjuge ou Analogo,Ponte de Lima,67.0,79.0,59.0,66.0,37.0,83.0,64.0,57.0,49.0,56.0,82.0,71.0
Violencia Domestica Menores,Ponte de Lima,,,7.0,,3.0,,,,,,,
Outros Violencia Domestica,Ponte de Lima,15.0,14.0,6.0,9.0,8.0,5.0,7.0,6.0,8.0,10.0,18.0,11.0
Violencia Domestica Conjuge ou Analogo,Valença,28.0,32.0,36.0,35.0,47.0,21.0,35.0,52.0,40.0,36.0,42.0,44.0
Violencia Domestica Menores,Valença,,,,,3.0,,,,,,,
Outros Violencia Domestica,Valença,15.0,9.0,13.0,8.0,8.0,11.0,8.0,6.0,6.0,,3.0,3.0
Violencia Domestica Conjuge ou Analogo,Viana do Castelo,180.0,193.0,198.0,195.0,175.0,180.0,206.0,212.0,202.0,179.0,211.0,249.0
Violencia Domestica Menores,Viana do Castelo,7.0,4.0,3.0,,,,3.0,5.0,,,6.0,4.0
Outros Violencia Domestica,Viana do Castelo,24.0,33.0,51.0,41.0,27.0,29.0,19.0,15.0,18.0,5.0,14.0,21.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Cerveira,10.0,7.0,17.0,9.0,19.0,16.0,21.0,22.0,15.0,28.0,20.0,31.0
Violencia Domestica Menores,Vila Nova de Cerveira,,,,,,,,,,,,
Outros Violencia Domestica,Vila Nova de Cerveira,,,3.0,3.0,6.0,9.0,9.0,3.0,6.0,4.0,,8.0
Violencia Domestica Conjuge ou Analogo,Alijó,19.0,17.0,27.0,18.0,28.0,29.0,29.0,26.0,16.0,26.0,19.0,35.0
Violencia Domestica Menores,Alijó,3.0,,,,,,,,,,,
Outros Violencia Domestica,Alijó,7.0,9.0,12.0,20.0,12.0,24.0,18.0,10.0,10.0,14.0,11.0,11.0
Violencia Domestica Conjuge ou Analogo,Boticas,9.0,5.0,5.0,6.0,3.0,,9.0,9.0,7.0,4.0,6.0,6.0
Violencia Domestica Menores,Boticas,,,,,,,,,,,,
Outros Violencia Domestica,Boticas,,,,3.0,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Chaves,35.0,43.0,81.0,83.0,75.0,90.0,81.0,83.0,83.0,72.0,80.0,95.0
Violencia Domestica Menores,Chaves,,,3.0,,,,,,,,,
Outros Violencia Domestica,Chaves,5.0,8.0,9.0,24.0,30.0,19.0,12.0,9.0,4.0,6.0,12.0,7.0
Violencia Domestica Conjuge ou Analogo,Mesão Frio,8.0,15.0,16.0,33.0,29.0,16.0,25.0,18.0,17.0,14.0,6.0,11.0
Violencia Domestica Menores,Mesão Frio,,,,,,,,,,,,5.0
Outros Violencia Domestica,Mesão Frio,,6.0,,,5.0,,3.0,,5.0,,5.0,
Violencia Domestica Conjuge ou Analogo,Mondim de Basto,9.0,7.0,6.0,16.0,19.0,24.0,11.0,18.0,19.0,14.0,11.0,19.0
Violencia Domestica Menores,Mondim de Basto,,,,,,,,,,,,
Outros Violencia Domestica,Mondim de Basto,3.0,,,,3.0,4.0,5.0,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Montalegre,6.0,6.0,35.0,18.0,23.0,18.0,13.0,14.0,18.0,15.0,23.0,16.0
Violencia Domestica Menores,Montalegre,,,,,3.0,,,,,,,
Outros Violencia Domestica,Montalegre,,3.0,6.0,3.0,5.0,3.0,4.0,4.0,3.0,,,
Violencia Domestica Conjuge ou Analogo,Murça,5.0,9.0,13.0,16.0,4.0,15.0,23.0,17.0,11.0,10.0,7.0,11.0
Violencia Domestica Menores,Murça,,,,,,,,,,,,
Outros Violencia Domestica,Murça,,3.0,4.0,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Peso da Régua,32.0,68.0,50.0,34.0,41.0,45.0,64.0,62.0,42.0,34.0,36.0,26.0
Violencia Domestica Menores,Peso da Régua,,,,,,,,,,,,
Outros Violencia Domestica,Peso da Régua,,,7.0,14.0,7.0,20.0,13.0,9.0,10.0,9.0,12.0,13.0
Violencia Domestica Conjuge ou Analogo,Ribeira de Pena,12.0,13.0,10.0,9.0,9.0,12.0,8.0,11.0,7.0,14.0,9.0,15.0
Outros Violencia Domestica,Ribeira de Pena,,,,,,,8.0,3.0,3.0,12.0,4.0,
Violencia Domestica Conjuge ou Analogo,Sabrosa,5.0,3.0,14.0,22.0,19.0,16.0,14.0,9.0,10.0,13.0,9.0,19.0
Violencia Domestica Menores,Sabrosa,,,,,,,,,,,,
Outros Violencia Domestica,Sabrosa,,,,,3.0,,,5.0,7.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Santa Marta de Penaguião,,,9.0,11.0,12.0,5.0,23.0,12.0,14.0,21.0,23.0,9.0
Violencia Domestica Menores,Santa Marta de Penaguião,,,,,,,,,,,,
Outros Violencia Domestica,Santa Marta de Penaguião,,,,,,,,,9.0,7.0,8.0,7.0
Violencia Domestica Conjuge ou Analogo,Valpaços,24.0,48.0,49.0,33.0,30.0,34.0,40.0,34.0,45.0,25.0,29.0,45.0
Violencia Domestica Menores,Valpaços,4.0,,,,,,,,,,,
Outros Violencia Domestica,Valpaços,3.0,15.0,13.0,5.0,15.0,9.0,14.0,4.0,14.0,7.0,4.0,5.0
Violencia Domestica Conjuge ou Analogo,Vila Pouca de Aguiar,18.0,18.0,32.0,30.0,20.0,26.0,23.0,29.0,19.0,14.0,14.0,17.0
Violencia Domestica Menores,Vila Pouca de Aguiar,,,,,,,,,,,,
Outros Violencia Domestica,Vila Pouca de Aguiar,,,6.0,5.0,,8.0,10.0,24.0,11.0,12.0,6.0,
Violencia Domestica Conjuge ou Analogo,Vila Real,80.0,65.0,103.0,94.0,83.0,113.0,104.0,110.0,93.0,86.0,88.0,85.0
Violencia Domestica Menores,Vila Real,3.0,,,,,,,,,,,
Outros Violencia Domestica,Vila Real,8.0,10.0,20.0,17.0,23.0,24.0,21.0,24.0,26.0,14.0,18.0,6.0
Violencia Domestica Conjuge ou Analogo,Armamar,,,8.0,3.0,4.0,3.0,5.0,9.0,13.0,12.0,10.0,15.0
Violencia Domestica Menores,Armamar,,,,,,,,,,,,
Outros Violencia Domestica,Armamar,,,,,,,,,,,,5.0
Violencia Domestica Conjuge ou Analogo,Carregal do Sal,15.0,9.0,15.0,24.0,35.0,24.0,10.0,31.0,18.0,22.0,16.0,25.0
Violencia Domestica Menores,Carregal do Sal,,,,,,,,,,,,
Outros Violencia Domestica,Carregal do Sal,,3.0,4.0,,3.0,,4.0,,,,,
Violencia Domestica Conjuge ou Analogo,Castro Daire,12.0,12.0,8.0,6.0,12.0,12.0,15.0,15.0,7.0,9.0,5.0,25.0
Violencia Domestica Menores,Castro Daire,,,,,,,,,,,,
Outros Violencia Domestica,Castro Daire,,,,,,6.0,3.0,5.0,,,,5.0
Violencia Domestica Conjuge ou Analogo,Cinfães,45.0,54.0,44.0,37.0,52.0,25.0,51.0,30.0,24.0,29.0,35.0,32.0
Violencia Domestica Menores,Cinfães,,,,4.0,,,,,,,,
Outros Violencia Domestica,Cinfães,6.0,3.0,,,7.0,3.0,,,9.0,3.0,5.0,7.0
Violencia Domestica Conjuge ou Analogo,Lamego,51.0,50.0,54.0,36.0,43.0,61.0,67.0,48.0,54.0,51.0,32.0,39.0
Violencia Domestica Menores,Lamego,,,,,,,,,,,,
Outros Violencia Domestica,Lamego,,,3.0,4.0,3.0,3.0,7.0,13.0,12.0,15.0,7.0,13.0
Violencia Domestica Conjuge ou Analogo,Mangualde,38.0,29.0,21.0,16.0,33.0,31.0,29.0,46.0,40.0,45.0,40.0,59.0
Violencia Domestica Menores,Mangualde,,,,,,,,,,,,
Outros Violencia Domestica,Mangualde,7.0,4.0,,,6.0,,,3.0,,,,5.0
Violencia Domestica Conjuge ou Analogo,Moimenta da Beira,16.0,18.0,15.0,16.0,20.0,15.0,22.0,21.0,10.0,12.0,13.0,17.0
Violencia Domestica Menores,Moimenta da Beira,,,,,,,,,,,,
Outros Violencia Domestica,Moimenta da Beira,,5.0,3.0,,,,,6.0,,9.0,,
Violencia Domestica Conjuge ou Analogo,Mortágua,6.0,4.0,9.0,12.0,14.0,15.0,10.0,15.0,12.0,18.0,13.0,16.0
Violencia Domestica Menores,Mortágua,,,,,,,,,,,,
Outros Violencia Domestica,Mortágua,,4.0,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Nelas,32.0,12.0,15.0,16.0,14.0,13.0,15.0,17.0,14.0,22.0,27.0,26.0
Violencia Domestica Menores,Nelas,,,,,,,,,,,,
Outros Violencia Domestica,Nelas,,,,3.0,4.0,4.0,,,3.0,,,
Violencia Domestica Conjuge ou Analogo,Oliveira de Frades,16.0,21.0,4.0,10.0,5.0,20.0,27.0,15.0,17.0,13.0,17.0,25.0
Violencia Domestica Menores,Oliveira de Frades,,,,,,,,,,,,
Outros Violencia Domestica,Oliveira de Frades,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Penalva do Castelo,13.0,9.0,7.0,15.0,12.0,11.0,20.0,16.0,8.0,8.0,11.0,17.0
Violencia Domestica Menores,Penalva do Castelo,,,,,,,,,,,,
Outros Violencia Domestica,Penalva do Castelo,,,,,,,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Penedono,,,8.0,6.0,9.0,6.0,3.0,6.0,3.0,,5.0,
Violencia Domestica Menores,Penedono,,,,,,,,,,,,
Outros Violencia Domestica,Penedono,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Resende,26.0,18.0,21.0,34.0,28.0,31.0,46.0,27.0,41.0,29.0,29.0,32.0
Violencia Domestica Menores,Resende,,,,4.0,,4.0,5.0,,,,,
Outros Violencia Domestica,Resende,,,3.0,3.0,5.0,5.0,,8.0,5.0,3.0,7.0,3.0
Violencia Domestica Conjuge ou Analogo,Santa Comba Dão,22.0,12.0,19.0,23.0,24.0,23.0,22.0,28.0,36.0,24.0,23.0,32.0
Violencia Domestica Menores,Santa Comba Dão,,,,,,,,,,,,
Outros Violencia Domestica,Santa Comba Dão,,4.0,3.0,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,São João da Pesqueira,,16.0,13.0,10.0,18.0,15.0,11.0,14.0,19.0,15.0,21.0,17.0
Violencia Domestica Menores,São João da Pesqueira,,,,,,,,,,,,
Outros Violencia Domestica,São João da Pesqueira,,4.0,3.0,4.0,,,3.0,,,,4.0,3.0
Violencia Domestica Conjuge ou Analogo,São Pedro do Sul,16.0,25.0,35.0,24.0,15.0,21.0,21.0,21.0,25.0,31.0,49.0,39.0
Violencia Domestica Menores,São Pedro do Sul,,,,,3.0,,,,,,,
Outros Violencia Domestica,São Pedro do Sul,,,,,3.0,5.0,9.0,,5.0,,3.0,
Violencia Domestica Conjuge ou Analogo,Sátão,12.0,11.0,20.0,13.0,15.0,11.0,13.0,10.0,10.0,15.0,29.0,23.0
Violencia Domestica Menores,Sátão,,,,,,,,,,,,
Outros Violencia Domestica,Sátão,,,,,,3.0,6.0,7.0,,,4.0,4.0
Violencia Domestica Conjuge ou Analogo,Sernancelhe,7.0,12.0,11.0,19.0,10.0,7.0,10.0,9.0,7.0,8.0,7.0,11.0
Violencia Domestica Menores,Sernancelhe,,,,,,,,,,,,
Outros Violencia Domestica,Sernancelhe,,,,3.0,,,,,,,,3.0
Violencia Domestica Conjuge ou Analogo,Tabuaço,6.0,12.0,9.0,9.0,14.0,5.0,15.0,19.0,5.0,12.0,14.0,14.0
Violencia Domestica Menores,Tabuaço,,,,,,,,,,,,
Outros Violencia Domestica,Tabuaço,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Tarouca,6.0,6.0,14.0,11.0,9.0,16.0,18.0,11.0,16.0,13.0,17.0,14.0
Violencia Domestica Menores,Tarouca,,,,,,,,,,,,
Outros Violencia Domestica,Tarouca,,,,,3.0,,,7.0,4.0,4.0,,3.0
Violencia Domestica Conjuge ou Analogo,Tondela,31.0,21.0,47.0,39.0,50.0,39.0,39.0,43.0,42.0,31.0,39.0,49.0
Violencia Domestica Menores,Tondela,,3.0,,,,,,,,,,
Outros Violencia Domestica,Tondela,10.0,10.0,9.0,9.0,4.0,6.0,9.0,4.0,9.0,9.0,9.0,6.0
Violencia Domestica Conjuge ou Analogo,Vila Nova de Paiva,7.0,3.0,10.0,6.0,11.0,6.0,8.0,8.0,6.0,11.0,10.0,14.0
Violencia Domestica Menores,Vila Nova de Paiva,,,,,,,,,,,,
Outros Violencia Domestica,Vila Nova de Paiva,,,6.0,5.0,5.0,,,,,,,
Violencia Domestica Conjuge ou Analogo,Viseu,177.0,248.0,237.0,274.0,254.0,248.0,267.0,243.0,258.0,242.0,226.0,239.0
Violencia Domestica Menores,Viseu,18.0,8.0,4.0,6.0,4.0,,8.0,8.0,3.0,,5.0,4.0
Outros Violencia Domestica,Viseu,14.0,14.0,25.0,23.0,12.0,14.0,19.0,24.0,22.0,28.0,35.0,41.0
Violencia Domestica Conjuge ou Analogo,Vouzela,17.0,19.0,18.0,22.0,17.0,20.0,20.0,16.0,21.0,14.0,19.0,18.0
Violencia Domestica Menores,Vouzela,,,,,,,,,,,,
Outros Violencia Domestica,Vouzela,,,,,,,,,,,,8.0
Violencia Domestica Conjuge ou Analogo,Calheta (Madeira),19.0,14.0,13.0,22.0,12.0,19.0,15.0,19.0,27.0,21.0,12.0,12.0
Violencia Domestica Menores,Calheta (Madeira),3.0,,,,,,,,,,,
Outros Violencia Domestica,Calheta (Madeira),4.0,4.0,5.0,14.0,7.0,9.0,6.0,8.0,9.0,5.0,5.0,5.0
Violencia Domestica Conjuge ou Analogo,Câmara de Lobos,116.0,68.0,71.0,88.0,123.0,134.0,93.0,114.0,88.0,112.0,136.0,121.0
Violencia Domestica Menores,Câmara de Lobos,,,,3.0,,,,,,,,
Outros Violencia Domestica,Câmara de Lobos,18.0,5.0,9.0,25.0,21.0,27.0,23.0,35.0,28.0,54.0,28.0,26.0
Violencia Domestica Conjuge ou Analogo,Funchal,186.0,143.0,329.0,345.0,379.0,386.0,435.0,414.0,418.0,387.0,396.0,375.0
Violencia Domestica Menores,Funchal,12.0,6.0,9.0,15.0,14.0,13.0,13.0,11.0,7.0,10.0,,8.0
Outros Violencia Domestica,Funchal,10.0,38.0,77.0,101.0,71.0,75.0,60.0,58.0,111.0,72.0,31.0,45.0
Violencia Domestica Conjuge ou Analogo,Machico,21.0,50.0,47.0,78.0,64.0,74.0,123.0,103.0,111.0,112.0,60.0,46.0
Violencia Domestica Menores,Machico,,,,,,,,3.0,3.0,,,3.0
Outros Violencia Domestica,Machico,15.0,11.0,28.0,26.0,41.0,31.0,41.0,36.0,35.0,40.0,22.0,13.0
Violencia Domestica Conjuge ou Analogo,Ponta do Sol,6.0,12.0,15.0,20.0,11.0,23.0,16.0,18.0,15.0,13.0,,12.0
Violencia Domestica Menores,Ponta do Sol,,,,,,,,,,,,
Outros Violencia Domestica,Ponta do Sol,3.0,,6.0,6.0,7.0,5.0,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Porto Moniz,7.0,7.0,12.0,13.0,13.0,5.0,9.0,17.0,6.0,6.0,10.0,3.0
Violencia Domestica Menores,Porto Moniz,,,,,,,,,,,,
Outros Violencia Domestica,Porto Moniz,,,,,5.0,,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Porto Santo,13.0,8.0,15.0,11.0,9.0,15.0,10.0,17.0,18.0,6.0,14.0,22.0
Violencia Domestica Menores,Porto Santo,,,,,,,,,,,,
Outros Violencia Domestica,Porto Santo,,,3.0,,,3.0,5.0,,6.0,,6.0,3.0
Violencia Domestica Conjuge ou Analogo,Ribeira Brava,38.0,29.0,38.0,37.0,47.0,54.0,39.0,58.0,32.0,45.0,43.0,32.0
Violencia Domestica Menores,Ribeira Brava,,,,,,,,,,,,
Outros Violencia Domestica,Ribeira Brava,,6.0,13.0,20.0,16.0,8.0,13.0,10.0,11.0,16.0,7.0,3.0
Violencia Domestica Conjuge ou Analogo,São Vicente,5.0,8.0,10.0,12.0,18.0,31.0,12.0,18.0,13.0,12.0,7.0,6.0
Violencia Domestica Menores,São Vicente,,,,,,,,,,,,
Outros Violencia Domestica,São Vicente,4.0,,4.0,4.0,3.0,8.0,7.0,8.0,10.0,,,4.0
Violencia Domestica Conjuge ou Analogo,Santa Cruz,,28.0,57.0,66.0,75.0,67.0,37.0,66.0,55.0,35.0,56.0,75.0
Violencia Domestica Menores,Santa Cruz,,8.0,3.0,4.0,,,3.0,,,,,
Outros Violencia Domestica,Santa Cruz,,6.0,29.0,15.0,24.0,19.0,24.0,19.0,21.0,19.0,23.0,22.0
Violencia Domestica Conjuge ou Analogo,Santana,17.0,12.0,30.0,24.0,16.0,24.0,31.0,14.0,8.0,9.0,4.0,14.0
Violencia Domestica Menores,Santana,,,,,,,,,,,,
Outros Violencia Domestica,Santana,,10.0,6.0,8.0,11.0,10.0,8.0,,,,5.0,
Violencia Domestica Conjuge ou Analogo,Angra do Heroísmo,78.0,81.0,102.0,96.0,118.0,104.0,103.0,63.0,79.0,93.0,92.0,115.0
Violencia Domestica Menores,Angra do Heroísmo,,,4.0,6.0,6.0,,7.0,,,,,
Outros Violencia Domestica,Angra do Heroísmo,7.0,5.0,23.0,14.0,17.0,12.0,21.0,6.0,10.0,10.0,12.0,21.0
Violencia Domestica Conjuge ou Analogo,Calheta (Açores),7.0,9.0,8.0,8.0,6.0,3.0,,3.0,3.0,12.0,9.0,4.0
Violencia Domestica Menores,Calheta (Açores),,,,,,,,,,,,
Outros Violencia Domestica,Calheta (Açores),,4.0,12.0,4.0,6.0,5.0,,,,4.0,3.0,
Violencia Domestica Conjuge ou Analogo,Corvo,,,,,,,,3.0,,,,
Violencia Domestica Conjuge ou Analogo,Horta,46.0,43.0,67.0,51.0,36.0,45.0,33.0,39.0,47.0,41.0,33.0,37.0
Violencia Domestica Menores,Horta,4.0,,,,,,,3.0,,,3.0,
Outros Violencia Domestica,Horta,12.0,25.0,3.0,3.0,16.0,13.0,13.0,10.0,17.0,8.0,13.0,16.0
Violencia Domestica Conjuge ou Analogo,Lagoa (Açores),91.0,177.0,113.0,87.0,66.0,48.0,40.0,35.0,59.0,67.0,41.0,56.0
Violencia Domestica Menores,Lagoa (Açores),3.0,,,,,,,,,,,
Outros Violencia Domestica,Lagoa (Açores),3.0,10.0,49.0,15.0,10.0,4.0,3.0,6.0,5.0,17.0,10.0,12.0
Violencia Domestica Conjuge ou Analogo,Lajes das Flores,,9.0,4.0,,3.0,3.0,8.0,,,,,3.0
Violencia Domestica Menores,Lajes das Flores,,,,,,,,,,,,
Outros Violencia Domestica,Lajes das Flores,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Lajes do Pico,8.0,8.0,8.0,7.0,4.0,9.0,8.0,4.0,10.0,8.0,4.0,
Violencia Domestica Menores,Lajes do Pico,,,,,,,,,,,,
Outros Violencia Domestica,Lajes do Pico,,,,3.0,3.0,,3.0,,,3.0,,
Violencia Domestica Conjuge ou Analogo,Madalena,24.0,9.0,20.0,15.0,12.0,13.0,13.0,13.0,18.0,7.0,8.0,10.0
Violencia Domestica Menores,Madalena,,,,,,,,,,,,
Outros Violencia Domestica,Madalena,,,,4.0,8.0,3.0,5.0,,8.0,3.0,5.0,5.0
Violencia Domestica Conjuge ou Analogo,Nordeste,17.0,35.0,7.0,22.0,15.0,14.0,21.0,17.0,14.0,8.0,16.0,18.0
Violencia Domestica Menores,Nordeste,,,,,,,,,,,,
Outros Violencia Domestica,Nordeste,15.0,16.0,,,15.0,5.0,4.0,5.0,,,,
Violencia Domestica Conjuge ou Analogo,Ponta Delgada,355.0,391.0,355.0,370.0,309.0,311.0,295.0,268.0,288.0,266.0,229.0,257.0
Violencia Domestica Menores,Ponta Delgada,4.0,7.0,14.0,3.0,5.0,10.0,6.0,5.0,5.0,14.0,5.0,3.0
Outros Violencia Domestica,Ponta Delgada,36.0,28.0,53.0,96.0,85.0,65.0,66.0,46.0,53.0,27.0,13.0,20.0
Violencia Domestica Conjuge ou Analogo,Povoação,37.0,36.0,25.0,19.0,30.0,24.0,23.0,16.0,26.0,21.0,10.0,20.0
Violencia Domestica Menores,Povoação,,,,,,,,,,,,
Outros Violencia Domestica,Povoação,3.0,,4.0,5.0,10.0,13.0,15.0,4.0,,3.0,,3.0
Violencia Domestica Conjuge ou Analogo,Ribeira Grande,227.0,181.0,104.0,146.0,152.0,193.0,180.0,195.0,160.0,199.0,226.0,152.0
Violencia Domestica Menores,Ribeira Grande,11.0,4.0,5.0,8.0,7.0,7.0,5.0,7.0,3.0,10.0,6.0,14.0
Outros Violencia Domestica,Ribeira Grande,23.0,30.0,37.0,47.0,46.0,50.0,37.0,36.0,33.0,25.0,23.0,27.0
Violencia Domestica Conjuge ou Analogo,São Roque do Pico,14.0,14.0,17.0,8.0,16.0,15.0,6.0,9.0,8.0,5.0,9.0,7.0
Outros Violencia Domestica,São Roque do Pico,,,,,,,,,,,,
Violencia Domestica Conjuge ou Analogo,Santa Cruz  Graciosa (R.A.A),,3.0,10.0,7.0,9.0,14.0,13.0,12.0,11.0,11.0,21.0,14.0
Violencia Domestica Menores,Santa Cruz  Graciosa (R.A.A),,,,,,,,,,,,
Outros Violencia Domestica,Santa Cruz  Graciosa (R.A.A),,,3.0,5.0,3.0,,,,3.0,7.0,3.0,4.0
Violencia Domestica Conjuge ou Analogo,Santa Cruz das Flores,7.0,6.0,5.0,12.0,6.0,10.0,14.0,11.0,10.0,12.0,7.0,11.0
Violencia Domestica Menores,Santa Cruz das Flores,,,,,,,,,,,,
Outros Violencia Domestica,Santa Cruz das Flores,,,,,,,,,4.0,3.0,,6.0
Violencia Domestica Conjuge ou Analogo,Velas (R.A.A.),,3.0,,7.0,10.0,12.0,12.0,8.0,14.0,12.0,11.0,15.0
Violencia Domestica Menores,Velas (R.A.A.),,,,,,,,,,,,
Outros Violencia Domestica,Velas (R.A.A.),,,,3.0,,8.0,9.0,10.0,6.0,4.0,4.0,5.0
Violencia Domestica Conjuge ou Analogo,Vila Praia da Vitória,6.0,34.0,69.0,69.0,72.0,57.0,83.0,69.0,56.0,82.0,79.0,71.0
Violencia Domestica Menores,Vila Praia da Vitória,,,,3.0,6.0,,,3.0,,3.0,,
Outros Violencia Domestica,Vila Praia da Vitória,,8.0,9.0,4.0,4.0,4.0,5.0,6.0,7.0,8.0,5.0,3.0
Violencia Domestica Conjuge ou Analogo,Vila do Porto,14.0,16.0,8.0,20.0,18.0,17.0,6.0,15.0,11.0,9.0,12.0,11.0
Violencia Domestica Menores,Vila do Porto,,,,,,,,,,,,
Outros Violencia Domestica,Vila do Porto,,,,5.0,5.0,,3.0,3.0,8.0,,4.0,
Violencia Domestica Conjuge ou Analogo,Vila Franca do Campo,30.0,54.0,47.0,55.0,33.0,29.0,19.0,30.0,24.0,37.0,22.0,35.0
Violencia Domestica Menores,Vila Franca do Campo,,,,3.0,,,,,,,,
Outros Violencia Domestica,Vila Franca do Campo,,3.0,9.0,4.0,6.0,5.0,3.0,3.0,,5.0,,4.0
Violencia Domestica Conjuge ou Analogo,N.E.,10.0,16.0,8.0,3.0,48.0,47.0,44.0,39.0,44.0,39.0,44.0,20.0
Violencia Domestica Menores,N.E.,,,,,,,,,,,,
Outros Violencia Domestica,N.E.,,,,,13.0,8.0,12.0,7.0,7.0,3.0,6.0,3.0
